year,month,n_prcp,n_tmax,n_tmin,prcp_mm_sum,tmax_c_mean,tmin_c_mean,TAvg_c_mean,n_days_mo,date
2005,6,30,30,30,111.80000000000001,31.28,17.706666666666667,24.493333333333332,30,2005-06-01
2005,7,31,31,31,121.9,33.41935483870968,19.129032258064516,26.274193548387096,31,2005-07-01
2005,8,31,31,31,123.9,32.26129032258064,18.60967741935484,25.43548387096774,31,2005-08-01
2005,9,30,30,30,50.8,30.173333333333332,15.553333333333333,22.863333333333333,30,2005-09-01
2005,10,31,31,31,49,22.10322580645161,7.6,14.851612903225806,31,2005-10-01
2005,11,30,30,30,23.6,16.81,0.6866666666666666,8.748333333333333,30,2005-11-01
2005,12,31,31,31,11.399999999999999,5.7,-5.319354838709677,0.19032258064516128,31,2005-12-01
2006,1,31,31,31,0,14.758064516129032,-2.3870967741935485,6.185483870967742,31,2006-01-01
2006,2,28,28,28,0,10.85,-5.696428571428571,2.5767857142857142,28,2006-02-01
2006,3,31,31,31,41.5,15.087096774193549,0.5838709677419355,7.8354838709677415,31,2006-03-01
2006,4,30,30,30,78,24.99,6.8933333333333335,15.941666666666666,30,2006-04-01
2006,5,31,31,31,124,25.051612903225806,12.474193548387097,18.76290322580645,31,2006-05-01
2006,6,30,30,30,112.8,32.20666666666666,17.613333333333333,24.91,30,2006-06-01
2006,7,31,31,31,200.7,35.15806451612903,20.729032258064517,27.943548387096776,31,2006-07-01
2006,8,31,31,31,250.29999999999998,31.68709677419355,19.461290322580645,25.574193548387097,31,2006-08-01
2006,9,30,30,30,6.3,24.596666666666668,11.956666666666667,18.276666666666667,30,2006-09-01
2006,10,31,31,31,58.8,19.48709677419355,6.345161290322581,12.916129032258064,31,2006-10-01
2006,11,30,30,30,0,14.296666666666667,0.6433333333333333,7.47,30,2006-11-01
2006,12,31,31,31,39.2,8.974193548387097,-3.835483870967742,2.5693548387096774,31,2006-12-01
2007,1,31,31,31,2,4.051612903225807,-7.158064516129032,-1.553225806451613,31,2007-01-01
2007,2,28,28,28,4.1,5.417857142857143,-6.275,-0.4285714285714286,28,2007-02-01
2007,3,31,31,31,54.7,17.287096774193547,4.945161290322581,11.116129032258064,31,2007-03-01
2007,4,30,30,30,47.6,16.753333333333334,5.456666666666667,11.105,30,2007-04-01
2007,5,31,31,31,356.5,24.51290322580645,13.312903225806451,18.912903225806453,31,2007-05-01
2007,6,30,30,30,71.1,27.836666666666666,17.24,22.538333333333334,30,2007-06-01
2007,7,31,31,31,74.1,31.196774193548386,19.55483870967742,25.375806451612902,31,2007-07-01
2007,8,31,31,31,31.2,34.44193548387097,21.661290322580644,28.051612903225806,31,2007-08-01
2007,9,30,30,30,32.5,28.19,15.313333333333333,21.75166666666667,30,2007-09-01
2007,10,31,31,31,10.200000000000001,22.087096774193547,8.196774193548388,15.141935483870968,31,2007-10-01
2007,11,30,30,30,7.6,14.776666666666667,0.39333333333333337,7.585,30,2007-11-01
2007,12,31,31,31,93.89999999999999,3.035483870967742,-6.848387096774194,-1.9064516129032256,31,2007-12-01
2008,1,31,31,31,2.5,7.34516129032258,-7.306451612903226,0.019354838709677438,31,2008-01-01
2008,2,29,29,29,11,7.051724137931035,-5.313793103448276,0.8689655172413794,28,2008-02-01
2008,3,31,31,31,1.8,14.587096774193549,0.4225806451612904,7.504838709677419,31,2008-03-01
2008,4,30,30,30,57.4,16.443333333333335,2.8233333333333333,9.633333333333333,30,2008-04-01
2008,5,31,31,31,58.4,25.241935483870968,10.754838709677419,17.998387096774195,31,2008-05-01
2008,6,30,30,30,21.099999999999998,31.436666666666667,17.21,24.323333333333334,30,2008-06-01
2008,7,31,31,31,118.49999999999999,34.14193548387097,19.087096774193547,26.614516129032257,31,2008-07-01
2008,8,31,31,31,14.8,31.10967741935484,18.858064516129033,24.983870967741936,31,2008-08-01
2008,9,30,30,30,132.6,26.156666666666666,13.336666666666666,19.746666666666666,30,2008-09-01
